Area_m2,Bedrooms,,Distance_Center_km,Price_Billion_VND
142,1,,3.4,8.84
132,1,,10.7,7.01
54,1,,6.4,3.67
146,1,,14.1,7.43
111,4,,2.9,9.4
60,3,,5.8,4.43
142,3,,2.6,10.53
161,1,,13.9,7.52
114,3,,13.3,7.44
127,3,,4.6,9.42
156,1,,10.2,7.7
139,3,,12.4,8.47
143,5,,8.8,11.08
191,2,,8.4,10.55
170,2,,4.4,10.73
189,1,,2.3,11.66
92,4,,13.6,5.81
41,1,,13.6,1.94
127,4,,9.9,10.01
197,2,,5.7,12.44
77,1,,5.9,5.16
169,5,,11.2,12.53
60,3,,13.6,3.85
200,4,,13.4,12.06
97,3,,11.9,5.56
61,3,,10,3.42
128,1,,2.2,8.11
88,3,,3.3,7.28
98,5,,13.6,7.84
54,3,,9.5,3.52
90,1,,1.1,5.16
147,5,,2.4,11.99
94,2,,10.3,5.69
103,3,,1.1,8.95
170,1,,3.3,10.3
90,2,,8.7,5.3
174,2,,10.7,10.03
60,4,,10.1,5.7
112,5,,4.1,9.92
57,3,,11,3.65
171,1,,4.3,10.78
128,4,,5.6,10.89
99,5,,11.5,8.17
53,4,,10.1,5.56
48,5,,12.9,4.5
129,5,,10.2,10.06
92,3,,9,6.56
169,5,,2.3,12.64
123,4,,6.1,9.11
131,5,,4.7,9.51
150,3,,4.4,10.39
47,3,,14.6,3.35
74,4,,6.5,6.81
120,2,,13.5,6.06
89,2,,9.8,5.94
143,5,,12.1,9.74
171,1,,8,9.61
41,5,,9.1,5.79
173,4,,7.9,11.41
93,4,,3.7,8.87
145,4,,11.1,9.05
43,4,,4.9,6.51
93,4,,1.3,8.47
185,3,,10,10.3
83,2,,3.5,5.62
53,4,,14.2,5.23
134,1,,14.4,6.19
87,1,,13.8,2.85
54,1,,6.2,3.15
79,1,,1.2,5.37
121,3,,14,5.74
150,1,,7,7.44
92,4,,14.5,7.24
63,5,,14.5,5.77
193,1,,12.9,9.31
163,3,,5.1,11.22
80,3,,6.4,5.67
196,1,,12.9,10.83
54,5,,5.4,6.47
84,1,,3.4,6.16
